flags,instruction,category,intent,response
BQZ,I'm rtying to cancel order {{Order Number}},ORDER,cancel_order,"I'm following the urgency of canceling your order with the order number {{Order Number}}. I apologize for any inconvenience caused. To assist you with the cancellation process, please follow these steps:

1. Log into your {{Online Company Portal Info}}.
2. Navigate to the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Look for the order with the number {{Order Number}} and click on it.
4. You should see an option to '{{Online Order Interaction}}', please select that.
5. Follow the instructions, if any, to complete the cancellation.

If you encounter any difficulties or have any further questions, please do not hesitate to reach out to our dedicated customer support team. You can contact us during {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat function on our {{Website URL}}. We are here to help and ensure your satisfaction."
BQZ,i need help trackng order {{Order Number}},ORDER,track_order,"We're here to help! I take note that you need assistance in tracking order number {{Order Number}}. I'm here to help you with that. In order to provide you with the most accurate information, could you please verify your account details? This will ensure that I have access to the correct order information and can assist you effectively."
BILZ,hw can I modify purchase {{Order Number}}?,ORDER,change_order,"We appreciate your inquiry regarding the modification of purchase {{Order Number}}. We are here to assist you with any changes you would like to make. To better understand your specific needs, could you please provide some details about the modifications you would like to make to your purchase? This will help us provide you with accurate guidance and ensure that your purchase meets your expectations. We are committed to your satisfaction and look forward to helping you with your purchase modification."
BLMZ,hep changing some products of an order,ORDER,change_order,"Appreciate your message to us for assistance with changing the products in your order. We understand that it's important for you to have the right items. To help you with this, could you please provide the order number and specify which products you would like to change? This way, we can ensure that your order is exactly as you want it. We're here to support you throughout the process, so please feel free to ask any questions or share any additional details that may help us fulfill your request."
BKL,show me estimated time of arrival of order {{Order Number}},ORDER,track_order,"Honored to assist! I'm clued in that you would like to know the estimated time of arrival (ETA) for your order with the order number {{Order Number}}. To provide you with accurate information, I kindly request you to hang on while I check the latest updates from our logistics team. I appreciate your patience in this matter as ensuring the ETA's accuracy is crucial. In the meantime, if you have any other questions or need further assistance, please don't hesitate to let me know."
BLQ,i forgot to include an item in purchase {{Order Number}},ORDER,change_order,"We understand that you forgot to include an item in your purchase with the number #{{Order Number}}. We apologize for any inconvenience this may have caused. To address this issue, we recommend contacting our customer support team as soon as possible. They will assist you in adding the missing item to your purchase. Remember, your satisfaction is our top priority, and we are here to help ensure your order is just as you envision it. Please don't hesitate to reach out to our customer support team for further assistance."
BL,switch something of order {{Order Number}},ORDER,change_order,Thank you for reaching out! I completely understand that you're looking to switch something in your order with the number {{Order Number}}. I'm here to help you with that. Could you please provide me with more details about what you'd like to switch? This will allow me to assist you more effectively.
BIL,is it possible to swap an item of purchase {{Order Number}}?,ORDER,change_order,"We appreciate your inquiry regarding the possibility of swapping an item for purchase number {{Order Number}}. Making changes to an existing purchase is important, and we are here to assist you. Please provide us with the details of the item you would like to swap, and we will ensure to provide you with the necessary guidance and options for a smooth exchange process. Your satisfaction is our top priority, and we are committed to making sure your purchase meets your expectations."
BLM,I need assistance to shop some articles,ORDER,place_order,"Thank you for reaching out! I'm here to provide you the assistance you need in shopping for the articles you desire. I understand that you require guidance, and I assure you that I'll be with you every step of the way. To begin, could you please let me know the specific articles you are interested in? Providing me with additional details such as preferences, sizes, or colors will allow me to tailor my recommendations to your needs. Together, we'll make sure you find the perfect articles and have a seamless shopping experience."
BIL,can you help me seeing the ETA of the order {{Order Number}}?,ORDER,track_order,"Sure! I'm here to assist you in checking the Estimated Time of Arrival (ETA) for your order with the number {{Order Number}}. The ETA can vary based on various factors such as shipping method, distance, and any unforeseen circumstances. To provide you with the most accurate information, could you please provide me with your order number once again? That way, I can quickly look up the details and let you know the ETA. Thank you for your cooperation, and I'm here to help you every step of the way!"
BLQ,need help with switching a product of order {{Order Number}},ORDER,change_order,"I realized that you need assistance with switching a product in your order with the number {{Order Number}}. Thank you for bringing this to our attention. To proceed with the exchange, could you please provide me with the details of the item you would like to switch and the replacement product you would like to receive? This will help us ensure a seamless transition and make sure you're satisfied with your order."
BILQ,how do i delete a product from order {{Order Number}},ORDER,change_order,"Thanks for dropping us a line to us with your query about removing a product from order number {{Order Number}}. I understand the importance of making adjustments to your order, and I'm here to help. To remove a product, you can follow these steps:

1. Log in to your account on our website.
2. Navigate to the ""Orders"" section or ""Order History.""
3. Locate and select the specific order (order number: {{Order Number}}).
4. Find the product you wish to delete and click on the ""Remove"" button or link next to it.
5. Confirm the deletion when prompted.
6. Your order will be updated, and the product will be removed.

If you encounter any difficulties or require further assistance, please don't hesitate to let me know. Your satisfaction is our priority, and we'll do our best to ensure a seamless ordering experience."
BIZ,can you help me to cancel order {{Order Number}} ?,ORDER,cancel_order,"Of course, I'm here to help you with canceling your order associated with the purchase number {{Order Number}}. I understand that circumstances may have changed, and you no longer wish to proceed with this purchase. Let's resolve this for you as quickly as possible. 

To cancel your order, please follow these steps:
1. Sign in to your {{Online Company Portal Info}}.
2. Locate the '{{Online Order Interaction}}' or '{{Online Order Interaction}}' section.
3. Find the order with the purchase number {{Order Number}} and click on it.
4. Look for the option labeled '{{Online Order Interaction}}' and click on it to initiate the cancellation process.
5. Follow any additional prompts or questions to complete the cancellation.

If you encounter any difficulties along the way or have any questions, our dedicated team is available during {{Customer Support Hours}}. You can reach us at {{Customer Support Phone Number}} or through the Live Chat feature on our {{Website URL}}. We value your satisfaction and are committed to assisting you throughout the cancellation process."
BLMQZ,i want help to swap several articles of order113542617735902,ORDER,change_order,"I can relate to the understanding that you need assistance with swapping several articles in your order with number {{Order Number}}. We're here to help make sure your order is exactly what you want it to be. Could you please provide the specific articles you would like to swap out, as well as the items you would like to replace them with? This way, we can ensure a smooth and seamless process for you. Thank you for your cooperation and patience while we work on resolving your request."
BEM,I do not know what I need to do to buy some items,ORDER,place_order,"Thanks for getting in touch! I grasp that you may be unfamiliar with the process of buying our items, and I'm here to guide you through it. To begin with, let's break down the steps you need to take to make a purchase:

1. Browse our online catalog: Visit our website and explore the wide range of items we offer. You can filter your search based on categories, prices, or any specific requirements you may have.

2. Select your desired items: Once you've found the items you wish to purchase, click on them to view the detailed product information, such as specifications, features, and pricing. Take your time to read and compare, ensuring you make an informed decision.

3. Add items to your cart: When you've made your selection, click the ""Add to Cart"" button to place the items in your virtual shopping cart. You can continue browsing for more items or proceed to the next step.

4. Review your cart: Go to your shopping cart and make sure all the items you intend to purchase are listed correctly. You can adjust the quantities or remove any unwanted items at this stage.

5. Proceed to checkout: Once you're satisfied with the items in your cart, click the ""Checkout"" button to proceed. You may be required to create an account, provide your contact and shipping information, and select your preferred payment method.

6. Complete the payment: Follow the instructions to securely complete the payment process. We accept various payment options, such as credit cards, PayPal, or bank transfers. You'll receive confirmation of your payment once it's successfully processed.

7. Track your order: After your purchase is confirmed, you'll receive an order confirmation email with all the details. You can track the status of your order through your account on our website or contact our customer support team for any assistance.

That's it! These steps should help you navigate the process of buying our items. If you have any further questions or need assistance at any point, please don't hesitate to reach out to me. Happy shopping!"
BCL,"I have to see order {{Order Number}} current status, I need help",ORDER,track_order,"Thank you for reaching out! I completely understand that you need assistance in checking the current status of your order with the order number {{Order Number}}. I'm here to help you with that. To view the current status of your order, please visit the ""Order History"" section on our website. If you have any further questions or need additional guidance, feel free to ask. I'm dedicated to ensuring that you have a smooth and seamless experience."
